Day,Kidal,Gao,Timbuktu,Mopti,Douentza,Konna,Menaka,Niafounke,Bourem,Bamako,Tenenkou,Segou,Ansongo,Lere,Dire,Goundam,Fassala-Mbera,Mentao,Bobo-Dioulasso,Abala,Mangaize,Niamey,Tabareybarey
0,0,0,0,0,0,31,0,0,0,0,0,0,0,41,1464,6616,0,0,0,0,0,0,0
1,0,0,1,8,7,2575,0,0,8732,0,55,0,128,88,2517,5900,22,0,0,0,0,0,0
2,0,1650,0,337,191,2024,0,0,6576,0,35,0,413,108,3025,5396,53,0,0,0,0,0,0
3,194,2620,228,528,358,1778,0,18,5221,0,30,68,741,185,3326,5092,88,0,0,0,0,0,0
4,141,3139,145,631,519,1651,0,8,4329,0,50,128,1072,254,3531,5045,123,0,0,0,0,0,0
5,118,3353,149,663,670,1655,0,7,3964,12,51,196,1408,283,3647,5041,186,0,0,0,0,0,0
6,101,3595,124,686,801,1690,0,12,3671,19,63,245,1699,317,3706,5089,258,0,0,0,0,0,0
7,88,3645,121,743,859,1743,0,15,3493,36,84,273,1953,319,3849,5052,334,0,0,0,0,0,0
8,95,3822,117,838,928,1760,0,21,3299,54,94,321,2206,315,3882,5167,416,0,0,0,0,0,0
9,80,3997,110,914,1011,1823,0,19,3286,60,81,388,2466,342,3997,5261,508,0,0,0,0,0,0
10,79,4127,96,954,1070,1883,0,18,3217,95,93,456,2678,408,4043,5393,594,0,0,0,0,0,0
11,77,4307,129,960,1152,1983,0,23,3256,121,111,520,2830,430,4096,5492,695,0,0,0,0,0,0
12,83,4467,115,1005,1194,2064,0,23,3308,135,107,561,2953,462,4158,5543,793,0,0,0,0,0,0
13,59,4638,100,1051,1230,2171,0,20,3328,156,142,615,3104,485,0,9333,902,0,0,0,0,0,0
14,81,4759,106,1124,1297,2278,0,12,3443,179,166,645,3162,510,0,9678,1011,0,0,0,0,0,0
15,75,4998,98,1197,1333,2432,0,16,3395,199,179,695,3239,539,0,9789,1136,0,0,0,0,0,0
16,84,5142,109,1262,1417,2596,0,27,3390,197,190,777,3346,573,0,9915,1282,0,0,0,0,0,0
17,86,5185,132,1358,1463,2657,0,24,3412,213,183,817,3531,609,0,10049,1418,0,0,0,0,0,0
18,100,5221,123,1433,1568,2739,0,37,3503,236,217,878,3652,611,0,10213,1585,0,0,0,0,0,0
19,98,5259,134,1498,1612,2890,0,33,3567,247,207,916,3726,625,0,10361,1742,0,0,0,0,0,0
20,103,5354,127,1560,1679,2991,0,31,3657,259,230,963,3881,667,0,10474,1885,0,0,0,0,0,0
21,100,5490,126,1664,1678,3106,0,38,3709,312,225,1022,3990,719,0,10648,2060,0,0,0,0,0,0
22,90,5707,147,1747,1712,3031,0,25,3703,319,236,1063,4258,726,0,11417,2225,0,0,0,0,0,0
23,96,136,128,1745,1741,3195,0,52,6318,327,225,1188,6200,841,0,11743,2396,81,55,0,0,0,0
24,178,103,225,1829,2659,3139,0,28,6882,333,236,1183,6680,885,0,12038,2573,289,216,0,0,0,0
25,192,115,227,1887,2763,3166,0,36,6861,332,275,1177,7086,859,0,11971,2781,482,363,0,0,0,0
26,198,174,246,1965,2774,3355,0,22,6772,355,269,1144,7261,835,0,11999,2986,680,504,0,0,0,0
27,193,179,212,1998,2811,3436,0,29,6697,373,239,1182,7586,847,0,11983,3197,935,650,0,0,0,0
28,165,183,245,2042,2836,3573,0,30,6697,376,235,1202,7754,851,0,11862,3395,1198,788,0,0,0,0
29,175,211,268,2034,2861,3663,0,31,6600,382,246,1218,7810,828,0,11685,3595,1443,953,0,0,0,0
30,180,212,190,2041,2867,3742,0,25,323,395,264,1169,0,793,0,11473,3818,1707,1091,0,0,0,0
31,874,177,857,2082,3805,3712,0,15,319,390,264,1147,0,762,0,11270,4012,2000,1254,0,0,0,0
32,259,201,331,2162,3962,3827,0,25,322,379,243,1176,0,772,0,11521,4167,2295,1387,0,0,0,0
33,325,259,365,2200,4198,4105,0,27,1156,360,253,1191,0,790,0,11523,4329,2580,1535,29,0,0,34
34,305,234,305,2292,4229,4207,0,33,443,340,243,1208,0,795,0,11485,4506,2905,1675,653,384,0,2479
35,331,273,421,2364,4226,4392,1,28,555,341,244,1235,0,800,0,11439,4687,3253,1830,1251,744,0,3998
36,225,312,248,2495,3962,4576,0,24,506,364,256,1236,0,830,0,11407,4865,3602,1973,1620,936,0,5364
37,203,247,293,2598,3755,4697,1,26,584,375,227,1209,0,848,0,11396,5065,3987,2117,1940,1132,2,6424
38,202,292,243,2651,3577,4689,2,27,446,376,282,1258,0,820,0,11344,5253,4378,2152,2226,1294,7,6871
39,173,267,244,2719,3451,4647,4,24,402,412,295,1276,0,799,0,11181,5434,4763,2148,2577,1478,13,6867
40,160,264,217,2723,3388,4686,0,35,389,401,313,1263,0,806,0,11149,5620,5118,2146,2952,1662,16,6857
41,177,249,241,2749,3324,4667,1,28,356,422,326,1320,0,851,0,11049,5792,5466,2145,3283,1880,19,6848
42,161,217,209,2803,3240,4579,2,39,372,449,291,1380,0,886,0,11024,5972,5790,2143,3629,2084,22,6841
43,162,247,230,2874,3112,4575,0,31,371,464,310,1403,0,907,0,10988,6163,6137,2143,3985,2286,24,6837
44,165,277,219,2933,3041,4563,0,30,341,454,307,1423,0,904,0,10874,6361,6471,2141,4312,2484,29,6829
45,151,213,207,2831,3015,4676,0,28,393,490,320,1494,0,893,0,10830,6559,6788,2137,4655,2688,34,6816
46,165,233,209,2894,2999,4807,1,36,348,501,317,1542,0,901,0,10818,6756,7095,2134,4972,2878,40,6810
47,158,254,223,2956,2975,4923,2,42,322,516,324,1576,0,878,0,10759,6954,7229,2131,5305,3061,45,6808
48,187,263,225,3028,3054,4972,1,35,350,550,339,1627,0,865,0,10667,7150,7261,2129,5662,3261,47,6800
49,152,232,227,3054,3054,5105,1,31,381,575,333,1634,0,899,0,10642,7340,7255,2127,6010,3416,51,6789
50,146,290,203,3087,3005,5224,1,37,376,583,315,1684,0,884,0,10558,7536,7248,2126,6381,3461,58,6782
51,149,246,242,3114,3074,5299,1,38,339,580,351,1716,0,897,0,10494,7740,7242,2126,6802,3463,59,6774
52,166,239,245,3161,3139,5367,2,21,309,613,367,1766,0,909,0,10441,7934,7237,2126,7222,3456,66,6770
53,155,266,238,3256,3098,5471,5,36,344,615,344,1835,0,916,0,10397,8142,7234,2122,7647,3452,68,6763
54,151,280,219,3296,3165,5512,2,28,325,648,358,1846,0,943,0,10357,8334,7226,2119,8050,3449,76,6755
55,149,256,227,3392,3135,5591,5,38,329,682,366,1818,0,945,0,10377,8551,7218,2117,8469,3448,86,6751
56,135,281,240,3469,3128,5708,3,40,334,672,380,1898,0,915,0,10339,8791,7211,2116,8889,3445,91,6738
57,153,289,234,3609,3149,5742,4,39,345,656,337,1927,0,925,0,10288,8982,7207,2113,9327,3440,100,6731
58,131,255,234,3595,3203,5765,0,29,316,666,391,1971,0,958,0,10211,9203,7201,2112,9739,3435,106,6727
59,142,255,227,3591,3259,5829,2,37,343,755,393,1962,0,978,0,10206,9421,7188,2110,10168,3433,112,6715
60,136,290,210,3641,3326,5842,2,39,306,737,371,1944,0,1003,0,10153,9652,7180,2109,10594,3430,120,6707
61,134,257,221,3647,3325,5958,4,41,327,719,387,2044,0,991,0,10130,9882,7176,2108,11039,3431,128,6699
62,147,283,206,3792,3342,5966,4,31,323,744,378,2123,0,999,0,10079,10102,7165,2106,11331,3434,136,6695
63,138,288,252,3762,3318,6043,1,40,293,773,378,2173,0,981,0,10040,10330,7158,2103,11441,3432,143,6691
64,144,272,239,3799,3374,6102,3,54,317,749,402,2197,0,913,0,10041,10557,7147,2097,11445,3433,151,6688
65,146,298,198,3764,3411,6188,2,38,314,742,424,2196,0,941,0,10004,10773,7141,2093,11433,3445,158,6681
66,158,307,220,3826,3482,6142,0,33,300,783,439,2248,0,918,0,9917,11004,7135,2090,11421,3443,166,6677
67,157,279,257,3869,3543,6184,3,52,284,801,391,2276,0,964,0,9809,11204,7129,2089,11412,3438,175,6672
68,166,321,231,3910,3544,6227,3,40,299,828,404,2234,0,959,0,9774,11422,7123,2087,11401,3435,183,6669
69,164,319,214,3938,3452,6296,1,48,313,871,435,2221,0,932,0,9655,11653,7116,2085,11389,3430,193,6664
70,160,355,218,3927,3492,6428,4,46,312,879,400,2248,0,969,0,9615,11852,7105,2084,11381,3439,199,6656
71,148,315,255,3941,3598,6431,6,46,305,878,398,2308,0,986,0,9578,12066,7101,2081,11381,3442,208,6651
72,181,309,245,3988,3660,6380,3,37,288,854,426,2342,0,990,0,9537,12287,7092,2078,11378,3436,212,6639
73,178,310,254,4038,3639,6458,3,30,305,843,403,2394,0,977,0,9483,12528,7088,2074,11383,3430,223,6632
74,164,329,245,4084,3689,6462,3,42,311,854,387,2396,0,1006,0,9426,12724,7081,2072,11385,3434,234,6628
75,155,286,253,4098,3728,6529,5,45,333,881,424,2391,0,982,0,9413,12938,7076,2072,11387,3443,246,6618
76,189,323,282,4192,3748,6444,2,29,308,885,430,2402,0,1002,0,9419,13150,7071,2071,11379,3440,256,6613
77,175,319,269,4213,3811,6496,1,34,288,915,421,2420,0,977,0,9427,13383,7062,2070,11379,3437,264,6609
78,159,316,235,4276,3929,6462,1,55,324,939,446,2440,0,978,0,9404,13605,7059,2068,11386,3433,275,6601
79,171,300,266,4255,3894,6558,4,43,322,937,463,2474,0,1014,0,9353,13820,7050,2065,11384,3436,281,6593
80,190,345,274,4197,3919,6662,6,44,300,940,442,2479,0,1044,0,9307,14034,7042,2062,11384,3438,288,6591
81,161,348,269,4218,3920,6697,4,38,310,941,447,2498,0,1026,0,9331,14265,7037,2059,11387,3430,299,6584
82,171,357,265,4235,3865,6773,5,40,322,921,478,2505,0,1013,0,9299,14478,7029,2056,11376,3431,308,6578
83,163,340,292,4292,3908,6776,4,44,282,939,477,2545,0,1002,0,9308,14727,7024,2055,11380,3442,317,6574
84,179,316,237,4336,3892,6883,2,46,306,936,458,2582,0,1003,0,9254,14943,7019,2051,11386,3443,326,6569
85,179,346,272,4348,3979,6914,3,44,294,942,468,2596,0,1047,0,9156,15165,7012,2047,11377,3441,334,6563
86,176,336,265,4399,3982,7014,0,44,315,943,468,2613,0,1060,0,9126,15404,7005,2046,11380,3440,346,6558
87,171,310,246,4508,4010,6934,2,46,308,964,488,2624,0,1077,0,9071,15616,6999,2044,11376,3437,351,6550
88,178,359,258,4514,3964,7052,2,52,297,967,474,2608,0,1090,0,9069,15845,6991,2043,11379,3434,364,6545
89,176,367,248,4511,3982,7007,1,57,304,940,482,2647,0,1094,0,9047,16073,6987,2039,11399,3436,374,6544
90,178,358,291,4524,3941,7070,0,43,302,946,465,2674,0,1085,0,9019,16318,6983,2037,11386,3434,379,6534
91,155,352,288,4592,4032,7033,0,54,306,972,471,2690,0,1063,0,9023,16571,6980,2035,11371,3431,394,6528
92,162,322,254,4635,4057,7020,3,45,320,983,470,2669,0,1065,0,9007,16821,6967,2035,11379,3444,404,6520
93,189,368,288,4509,4146,7102,1,47,301,997,454,2654,0,1057,0,9045,17038,6959,2033,11378,3444,408,6515
94,176,350,282,4603,4110,7146,1,57,309,1042,477,2657,0,1072,0,9083,17253,6955,2031,11381,3437,426,6512
95,174,328,272,4628,4115,7161,1,38,321,1030,448,2649,0,1081,0,9068,17491,6949,2028,11381,3431,434,6506
96,168,367,280,4644,4100,7235,3,41,319,1031,468,2702,0,1041,0,9079,17725,6940,2026,11390,3437,444,6500
97,187,365,266,4660,4046,7181,0,38,303,1048,461,2718,0,1034,0,9090,17952,6931,2025,11387,3441,450,6492
98,180,407,313,4706,4052,7197,2,45,311,1043,511,2801,0,1051,0,9126,18179,6927,2022,11376,3433,459,6485
99,161,359,295,4729,4084,7234,4,41,339,1049,452,2791,0,1068,0,9159,18408,6922,2022,11380,3430,472,6481
100,184,354,275,4828,3997,7243,4,58,354,1066,494,2833,0,1069,0,9191,18634,6915,2020,11386,3440,476,6476
101,201,380,268,4823,4068,7311,2,53,293,1035,481,2779,0,1080,0,9244,18856,6911,2017,11386,3440,481,6471
102,183,373,296,4854,4113,7360,4,42,314,1069,515,2787,0,1089,0,9263,19074,6905,2011,11386,3438,481,6464
103,169,363,295,4922,4083,7397,2,50,345,1045,541,2820,0,1105,0,9278,19313,6899,2008,11377,3437,485,6458
104,187,378,255,4844,4108,7476,0,52,368,1067,479,2893,0,1115,0,9294,19544,6886,2005,11378,3434,498,6454
105,197,386,310,4866,4189,7489,1,47,325,1048,489,2898,0,1135,0,9379,19791,6890,2002,11373,3427,509,6452
106,209,358,289,4894,4262,7428,5,41,316,1063,505,2958,0,1108,0,9406,20040,6898,2001,11378,3442,515,6444
107,191,405,308,4802,4339,7603,0,32,350,1030,518,2978,0,1089,0,9371,20308,6908,1997,11390,3443,533,6442
108,177,350,282,4832,4464,7600,0,43,342,1046,503,3021,0,1115,0,9357,20542,6929,1994,11386,3441,542,6441
109,181,394,303,4835,4517,7654,1,52,359,1076,491,2979,0,1091,0,9400,20803,6926,1992,11385,3436,550,6436
110,216,377,268,4878,4551,7725,2,57,318,1091,522,2941,0,1103,0,9436,21031,6919,1989,11389,3432,555,6423
111,192,381,267,5026,4566,7773,5,59,336,1065,523,2934,0,1159,0,9471,21253,6912,1988,11384,3435,566,6416
112,173,390,283,5020,4569,7781,4,47,356,1131,517,3011,0,1116,0,9455,21508,6905,1987,11372,3438,571,6410
113,203,401,305,5020,4503,7891,4,40,336,1121,548,3049,0,1131,0,9472,21743,6899,1987,11378,3438,580,6405
114,222,405,302,5064,4584,7879,1,57,326,1118,535,3098,0,1127,0,9425,21998,6897,1987,11392,3433,594,6400
115,220,396,302,5079,4609,7978,2,52,375,1091,483,3078,0,1180,0,9492,22236,6893,1984,11385,3435,605,6392
116,197,386,295,5107,4660,7988,1,54,379,1104,528,3125,0,1194,0,9536,22493,6903,1982,11380,3434,620,6390
117,215,397,324,5194,4654,7999,1,52,370,1097,525,3165,0,1149,0,9623,22743,6907,1980,11385,3432,625,6386
118,211,412,332,5204,4724,8040,4,55,394,1126,535,3162,0,1203,0,9726,22974,6910,1979,11377,3440,628,6379
119,227,424,313,5239,4726,8181,4,41,436,1172,548,3229,0,1174,0,9853,23285,6910,1977,11390,3445,635,6368
120,252,391,365,5247,4751,8234,4,61,398,1157,510,3198,0,1195,0,9934,23560,6906,1976,11404,3440,646,6362
121,209,410,368,5230,4885,8319,4,45,432,1175,568,3207,0,1252,0,10064,23808,6898,1973,11395,3436,653,6354
122,229,448,394,5183,5030,8442,2,50,453,1186,562,3228,0,1188,0,10138,24081,6896,1969,11381,3431,665,6347
123,269,372,363,5261,5115,8523,3,59,425,1234,607,3229,0,1226,0,10275,24335,6894,1967,11382,3449,675,6338
124,271,435,386,5366,5211,8584,3,65,472,1235,579,3201,0,1245,0,10375,24607,6900,1966,11389,3448,686,6328
125,269,459,363,5418,5301,8660,0,64,493,1207,574,3315,0,1296,0,10517,24888,6904,1965,11393,3440,698,6316
126,306,464,372,5478,5339,8786,3,53,490,1144,584,3336,0,1340,0,10582,25169,6914,1962,11384,3437,707,6312
127,277,460,396,5486,5569,8846,2,55,506,1202,603,3430,0,1349,0,10668,25455,6911,1959,11385,3434,717,6306
128,267,476,422,5639,5639,8951,3,59,546,1196,579,3336,0,1411,0,10849,25745,6908,1958,11388,3432,726,6300
129,300,451,457,5628,5849,9082,2,64,521,1219,617,3410,0,1396,0,11027,26061,6900,1956,11383,3457,731,6290
130,290,465,448,5697,5847,9303,2,50,507,1226,585,3388,0,1415,0,11205,26365,6897,1953,11395,3460,740,6281
131,313,491,463,5848,5927,9373,5,62,521,1223,596,3464,0,1460,0,11437,26659,6898,1952,11400,3455,747,6270
132,337,498,432,5889,6023,9555,4,64,520,1267,581,3508,0,1482,0,11537,26958,6910,1950,11391,3448,757,6266
133,336,493,425,5888,6211,9799,5,75,554,1252,617,3493,0,1464,0,11698,27293,6920,1947,11381,3446,761,6260
134,326,522,471,6074,6331,9890,1,61,590,1263,652,3562,0,1453,0,11899,27629,6920,1946,11376,3444,769,6253
135,342,556,495,6164,6406,10126,1,63,573,1248,605,3617,0,1515,0,12025,27917,6915,1945,11397,3443,775,6247
136,350,515,512,6316,6539,10223,0,81,580,1316,603,3603,0,1521,0,12217,28261,6909,1942,11420,3437,787,6240
137,359,528,495,6308,6664,10410,6,57,622,1332,638,3598,0,1465,0,12410,28625,6905,1938,11407,3434,798,6235
138,350,542,475,6446,6683,10666,1,63,597,1316,665,3638,0,1510,0,12439,28899,6901,1937,11395,3431,810,6230
139,321,547,498,6586,6690,10710,1,64,551,1340,613,3709,0,1471,0,12450,29214,6897,1937,11381,3451,817,6227
140,326,586,447,6640,6731,10852,1,54,525,1358,630,3750,0,1479,0,12490,29537,6894,1937,11378,3454,827,6223
141,368,585,443,6819,6824,10763,1,54,555,1323,700,3785,0,1523,0,12603,29842,6903,1933,11402,3453,836,6217
142,305,544,468,6840,6930,10943,2,51,519,1361,644,3800,0,1577,0,12661,30169,6919,1931,11403,3451,847,6207
143,321,588,460,6824,6950,11137,2,58,595,1345,679,3850,0,1581,0,12685,30497,6925,1929,11395,3450,848,6198
144,310,594,476,6919,7043,11228,1,76,537,1390,657,3906,0,1585,0,12694,30800,6924,1928,11385,3445,855,6193
145,322,556,480,7079,7108,11258,2,59,549,1409,711,3888,0,1618,0,12865,31144,6915,1928,11374,3443,860,6212
146,337,612,488,7213,7032,11340,1,64,540,1488,727,3859,0,1604,0,13002,31525,6908,1923,11388,3439,868,6226
147,306,666,459,7241,7159,11447,1,70,529,1498,687,3919,0,1641,0,13114,31849,6904,1922,11408,3435,874,6219
148,337,602,462,7316,7166,11523,3,58,569,1492,697,3995,0,1659,0,13206,32188,6897,1928,11399,3434,883,6214
149,312,628,493,7290,7269,11618,1,73,551,1492,740,4112,0,1620,0,13204,32533,6888,1945,11387,3433,893,6211
150,322,614,463,7374,7158,11756,2,51,549,1473,733,4172,0,1655,0,13183,32856,6895,1956,11381,3439,900,6204
151,346,629,460,7422,7260,11883,0,66,531,1499,743,4179,0,1677,0,13184,33224,6920,1953,11392,3441,906,6197
152,328,600,439,7434,7304,11953,4,78,523,1549,720,4170,0,1684,0,13131,33595,6938,1950,11393,3439,909,6197
